order,page_ref,page_name,sheet_ref,sheet_title,route,orientation,filename,relative_path,group,width_px,height_px,dpi,feature_count
1,P01,Homepage,P01-A4-01,Hero and Connected Journey,/,Landscape,P01-A4-01_Homepage_Hero_and_Connected_Journey.png,images/01_Public_and_Authentication/P01_Homepage/P01-A4-01_Homepage_Hero_and_Connected_Journey.png,Public and Authentication,3508,2480,300,9
2,P01,Homepage,P01-A4-02,"Features, User Flow and Trust",/,Landscape,P01-A4-02_Homepage_Features_User_Flow_and_Trust.png,images/01_Public_and_Authentication/P01_Homepage/P01-A4-02_Homepage_Features_User_Flow_and_Trust.png,Public and Authentication,3508,2480,300,8
3,P02,Sign Up,P02-A4-01,Create Account Form,/register,Portrait,P02-A4-01_Sign_Up_Create_Account_Form.png,images/01_Public_and_Authentication/P02_Sign_Up/P02-A4-01_Sign_Up_Create_Account_Form.png,Public and Authentication,2480,3508,300,7
4,P02,Sign Up,P02-A4-02,"Validation, Privacy and Success",/register,Portrait,P02-A4-02_Sign_Up_Validation_Privacy_and_Success.png,images/01_Public_and_Authentication/P02_Sign_Up/P02-A4-02_Sign_Up_Validation_Privacy_and_Success.png,Public and Authentication,2480,3508,300,6
5,P03,Login,P03-A4-01,Secure Account Login,/login,Portrait,P03-A4-01_Login_Secure_Account_Login.png,images/01_Public_and_Authentication/P03_Login/P03-A4-01_Login_Secure_Account_Login.png,Public and Authentication,2480,3508,300,10
6,P04,Password Recovery and Email Verification,P04-A4-01,Forgot Password and Reset Request,/forgot-password | /reset-password | /verify-email,Portrait,P04-A4-01_Password_Recovery_and_Email_Verification_Forgot_Password_and_Reset_Request.png,images/01_Public_and_Authentication/P04_Password_Recovery_and_Email_Verification/P04-A4-01_Password_Recovery_and_Email_Verification_Forgot_Password_and_Reset_Request.png,Public and Authentication,2480,3508,300,7
7,P04,Password Recovery and Email Verification,P04-A4-02,Reset Password and Email Verification,/forgot-password | /reset-password | /verify-email,Portrait,P04-A4-02_Password_Recovery_and_Email_Verification_Reset_Password_and_Email_Verification.png,images/01_Public_and_Authentication/P04_Password_Recovery_and_Email_Verification/P04-A4-02_Password_Recovery_and_Email_Verification_Reset_Password_and_Email_Verification.png,Public and Authentication,2480,3508,300,6
8,P05,Onboarding,P05-A4-01,Career Goal and Target Role,/onboarding,Portrait,P05-A4-01_Onboarding_Career_Goal_and_Target_Role.png,images/01_Public_and_Authentication/P05_Onboarding/P05-A4-01_Onboarding_Career_Goal_and_Target_Role.png,Public and Authentication,2480,3508,300,6
9,P05,Onboarding,P05-A4-02,"Skills, Availability and Preferences",/onboarding,Portrait,P05-A4-02_Onboarding_Skills_Availability_and_Preferences.png,images/01_Public_and_Authentication/P05_Onboarding/P05-A4-02_Onboarding_Skills_Availability_and_Preferences.png,Public and Authentication,2480,3508,300,5
10,P05,Onboarding,P05-A4-03,Profile Import and Completion Summary,/onboarding,Portrait,P05-A4-03_Onboarding_Profile_Import_and_Completion_Summary.png,images/01_Public_and_Authentication/P05_Onboarding/P05-A4-03_Onboarding_Profile_Import_and_Completion_Summary.png,Public and Authentication,2480,3508,300,5
11,P06,Dashboard,P06-A4-01,Overview and Progress,/dashboard,Landscape,P06-A4-01_Dashboard_Overview_and_Progress.png,images/02_Core_Account_and_Career_Identity/P06_Dashboard/P06-A4-01_Dashboard_Overview_and_Progress.png,Core Account and Career Identity,3508,2480,300,7
12,P06,Dashboard,P06-A4-02,"Roadmap, Applications and Weekly Focus",/dashboard,Landscape,P06-A4-02_Dashboard_Roadmap_Applications_and_Weekly_Focus.png,images/02_Core_Account_and_Career_Identity/P06_Dashboard/P06-A4-02_Dashboard_Roadmap_Applications_and_Weekly_Focus.png,Core Account and Career Identity,3508,2480,300,6
13,P06,Dashboard,P06-A4-03,"Activity, Deadlines, Study Abroad and Evidence",/dashboard,Landscape,P06-A4-03_Dashboard_Activity_Deadlines_Study_Abroad_and_Evidence.png,images/02_Core_Account_and_Career_Identity/P06_Dashboard/P06-A4-03_Dashboard_Activity_Deadlines_Study_Abroad_and_Evidence.png,Core Account and Career Identity,3508,2480,300,6
14,P07,Profile,P07-A4-01,Profile Overview and View Mode,/profile,Portrait,P07-A4-01_Profile_Profile_Overview_and_View_Mode.png,images/02_Core_Account_and_Career_Identity/P07_Profile/P07-A4-01_Profile_Profile_Overview_and_View_Mode.png,Core Account and Career Identity,2480,3508,300,11
15,P07,Profile,P07-A4-02,"Edit Mode, Preferences and Privacy",/profile,Portrait,P07-A4-02_Profile_Edit_Mode_Preferences_and_Privacy.png,images/02_Core_Account_and_Career_Identity/P07_Profile/P07-A4-02_Profile_Edit_Mode_Preferences_and_Privacy.png,Core Account and Career Identity,2480,3508,300,10
16,P08,Career Passport,P08-A4-01,Passport Overview and Personal Summary,/passport,Portrait,P08-A4-01_Career_Passport_Passport_Overview_and_Personal_Summary.png,images/02_Core_Account_and_Career_Identity/P08_Career_Passport/P08-A4-01_Career_Passport_Passport_Overview_and_Personal_Summary.png,Core Account and Career Identity,2480,3508,300,6
17,P08,Career Passport,P08-A4-02,Experience and Education,/passport,Portrait,P08-A4-02_Career_Passport_Experience_and_Education.png,images/02_Core_Account_and_Career_Identity/P08_Career_Passport/P08-A4-02_Career_Passport_Experience_and_Education.png,Core Account and Career Identity,2480,3508,300,6
18,P08,Career Passport,P08-A4-03,"Projects, Skills and Credentials",/passport,Portrait,P08-A4-03_Career_Passport_Projects_Skills_and_Credentials.png,images/02_Core_Account_and_Career_Identity/P08_Career_Passport/P08-A4-03_Career_Passport_Projects_Skills_and_Credentials.png,Core Account and Career Identity,2480,3508,300,6
19,P08,Career Passport,P08-A4-04,"Claims, Evidence and Private Reviews",/passport,Portrait,P08-A4-04_Career_Passport_Claims_Evidence_and_Private_Reviews.png,images/02_Core_Account_and_Career_Identity/P08_Career_Passport/P08-A4-04_Career_Passport_Claims_Evidence_and_Private_Reviews.png,Core Account and Career Identity,2480,3508,300,5
20,P09,CV Builder Overview,P09-A4-01,CV Library and Recent Work,/cv-builder,Landscape,P09-A4-01_CV_Builder_Overview_CV_Library_and_Recent_Work.png,images/03_CV_Builder/P09_CV_Builder_Overview/P09-A4-01_CV_Builder_Overview_CV_Library_and_Recent_Work.png,CV Builder,3508,2480,300,7
21,P09,CV Builder Overview,P09-A4-02,"Templates, Creation Paths and Guidance",/cv-builder,Landscape,P09-A4-02_CV_Builder_Overview_Templates_Creation_Paths_and_Guidance.png,images/03_CV_Builder/P09_CV_Builder_Overview/P09-A4-02_CV_Builder_Overview_Templates_Creation_Paths_and_Guidance.png,CV Builder,3508,2480,300,7
22,P10,"CV Editor, Preview and Export",P10-A4-01,"Target Role, Job and Passport Intake",/cv-builder/new | /cv-builder/:cvId,Landscape,P10-A4-01_CV_Editor_Preview_and_Export_Target_Role_Job_and_Passport_Intake.png,images/03_CV_Builder/P10_CV_Editor_Preview_and_Export/P10-A4-01_CV_Editor_Preview_and_Export_Target_Role_Job_and_Passport_Intake.png,CV Builder,3508,2480,300,7
23,P10,"CV Editor, Preview and Export",P10-A4-02,Section Editor and Content Controls,/cv-builder/new | /cv-builder/:cvId,Landscape,P10-A4-02_CV_Editor_Preview_and_Export_Section_Editor_and_Content_Controls.png,images/03_CV_Builder/P10_CV_Editor_Preview_and_Export/P10-A4-02_CV_Editor_Preview_and_Export_Section_Editor_and_Content_Controls.png,CV Builder,3508,2480,300,6
24,P10,"CV Editor, Preview and Export",P10-A4-03,Template Selection and Live Preview,/cv-builder/new | /cv-builder/:cvId,Landscape,P10-A4-03_CV_Editor_Preview_and_Export_Template_Selection_and_Live_Preview.png,images/03_CV_Builder/P10_CV_Editor_Preview_and_Export/P10-A4-03_CV_Editor_Preview_and_Export_Template_Selection_and_Live_Preview.png,CV Builder,3508,2480,300,6
25,P10,"CV Editor, Preview and Export",P10-A4-04,"Versions, Export and Download",/cv-builder/new | /cv-builder/:cvId,Landscape,P10-A4-04_CV_Editor_Preview_and_Export_Versions_Export_and_Download.png,images/03_CV_Builder/P10_CV_Editor_Preview_and_Export/P10-A4-04_CV_Editor_Preview_and_Export_Versions_Export_and_Download.png,CV Builder,3508,2480,300,6
26,P11,Job Discovery,P11-A4-01,Search and Filters,/jobs,Landscape,P11-A4-01_Job_Discovery_Search_and_Filters.png,images/04_Jobs_and_Applications/P11_Job_Discovery/P11-A4-01_Job_Discovery_Search_and_Filters.png,Jobs and Applications,3508,2480,300,6
